subset	representation	folio	line	region_id	relation_type	alignment_confidence	sequence_length	predicted_opportunities	corruptions	real_code_length_bits	median_corrupted_code_length_bits	mean_corrupted_code_length_bits	real_minus_median_corrupted_bits	real_minus_mean_corrupted_bits	real_better_than_median	real_better_than_all_corruptions	corrupted_better_count
medium	EVA	f2v	7	f2v-l7-r004	1:1	medium	7	5	100	18.358492384445963	21.3840274765531	21.049774717327935	-3.0255350921071376	-2.691282332881972	yes	no	1
medium	EVA	f2v	8	f2v-l8-r002	1:1	medium	6	4	100	16.99171005377434	16.99171005377434	16.99171005377434	0	0	no	no	0
medium_low_medium	ATOMS	f2r	1	f2r-l1-r001	1:1	low-medium	17	15	100	60	60	60	0	0	no	no	0
medium_low_medium	ATOMS	f2r	2	f2r-l2-r001	1:1	medium	16	14	100	56	56	56	0	0	no	no	0
medium_low_medium	ATOMS	f2r	3	f2r-l3-r001	1:1	low-medium	14	12	100	45.73859369482281	48.49185309632967	47.939400676547045	-2.7532594015068597	-2.2008069817242344	yes	no	5
medium_low_medium	ATOMS	f2r	3	f2r-l3-r004	1:1	low-medium	7	5	100	18.906890595608516	20.32192809488736	19.66352170156749	-1.4150374992788457	-0.7566311059589736	yes	no	29
medium_low_medium	ATOMS	f2r	3	f2r-l3-r005	1:1	low-medium	9	7	100	14.592342031086755	28.36959734627868	27.776075605430133	-13.777255315191926	-13.183733574343378	yes	yes	0
medium_low_medium	ATOMS	f2r	8	f2r-l8-r001	1:1	low-medium	15	13	100	49.32192809488736	52.16992500144231	52.02163374196491	-2.847996906554947	-2.6997056470775505	yes	yes	0
medium_low_medium	ATOMS	f2r	9	f2r-l9-r001	1:1	low-medium	13	11	100	42.04439411935846	44.78135971352466	44.220488337215166	-2.7369655941662003	-2.1760942178567078	yes	no	8
medium_low_medium	ATOMS	f2r	10	f2r-l10-r004	1:1	low-medium	11	9	100	28.0850361038558	36.33088904888599	35.61230486457843	-8.245852945030194	-7.527268760722627	yes	yes	0
medium_low_medium	ATOMS	f2r	11	f2r-l11-r003	1:1	medium	8	6	100	15.228818690495881	24.169925001442312	23.761051858951646	-8.94110631094643	-8.532233168455765	yes	no	0
