entity_type	entity_id	image_id	image_name	token	signature	atom_count	bounds_x	bounds_y	bounds_w	bounds_h	svg_path
atom	1944	3	page-003.jpg	e:1	e:1	1	2321	1158	48	47	atoms\e_1\page-003.jpg\1944.svg
atom	2000	3	page-003.jpg	i:1	i:1	1	2335	1120	48	71	atoms\i_1\page-003.jpg\2000.svg
atom	2095	3	page-003.jpg	d:1	d:1	1	2286	1114	88	38	atoms\d_1\page-003.jpg\2095.svg
atom	1940	3	page-003.jpg	e:1	e:1	1	1878	1155	47	52	atoms\e_1\page-003.jpg\1940.svg
atom	1917	3	page-003.jpg	c:1	c:1	1	1882	1135	52	49	atoms\c_1\page-003.jpg\1917.svg
atom	1950	3	page-003.jpg	h:2	h:2	1	1881	1136	48	70	atoms\h_2\page-003.jpg\1950.svg
atom	1941	3	page-003.jpg	e:1	e:1	1	1918	1157	47	52	atoms\e_1\page-003.jpg\1941.svg
atom	1985	3	page-003.jpg	f:1	f:1	1	1930	1157	45	53	atoms\f_1\page-003.jpg\1985.svg
atom	1986	3	page-003.jpg	l:1	l:1	1	1954	1162	63	50	atoms\l_1\page-003.jpg\1986.svg
atom	1987	3	page-003.jpg	f:1	f:1	1	1985	1167	41	49	atoms\f_1\page-003.jpg\1987.svg
atom	1989	3	page-003.jpg	i:1	i:1	1	1994	1142	64	74	atoms\i_1\page-003.jpg\1989.svg
atom	1990	3	page-003.jpg	d:1	d:1	1	1960	1136	90	46	atoms\d_1\page-003.jpg\1990.svg
atom	1916	3	page-003.jpg	c:1	c:1	1	1675	1149	52	52	atoms\c_1\page-003.jpg\1916.svg
atom	1936	3	page-003.jpg	e:1	e:1	1	1707	1154	46	48	atoms\e_1\page-003.jpg\1936.svg
atom	1982	3	page-003.jpg	i:1	i:1	1	1717	1128	47	58	atoms\i_1\page-003.jpg\1982.svg
atom	1983	3	page-003.jpg	d:1	d:1	1	1694	1122	67	43	atoms\d_1\page-003.jpg\1983.svg
atom	1937	3	page-003.jpg	e:1	e:1	1	1743	1155	48	49	atoms\e_1\page-003.jpg\1937.svg
atom	1984	3	page-003.jpg	g:1	g:1	1	1755	1155	75	33	atoms\g_1\page-003.jpg\1984.svg
atom	1938	3	page-003.jpg	e:1	e:1	1	1785	1156	46	50	atoms\e_1\page-003.jpg\1938.svg
atom	1939	3	page-003.jpg	e:1	e:1	1	1809	1155	48	52	atoms\e_1\page-003.jpg\1939.svg
atom	1949	3	page-003.jpg	h:1	h:1	1	1796	1155	68	96	atoms\h_1\page-003.jpg\1949.svg
atom	1910	3	page-003.jpg	c:1	c:1	1	1186	1150	52	52	atoms\c_1\page-003.jpg\1910.svg
atom	1959	3	page-003.jpg	a:1	a:1	1	1225	1131	33	69	atoms\a_1\page-003.jpg\1959.svg
atom	3040	3	page-003.jpg	m:1	m:1	1	1199	1102	77	61	atoms\m_1\page-003.jpg\3040.svg
atom	1912	3	page-003.jpg	c:1	c:1	1	1242	1102	52	52	atoms\c_1\page-003.jpg\1912.svg
atom	1958	3	page-003.jpg	a:1	a:1	1	1241	1108	34	91	atoms\a_1\page-003.jpg\1958.svg
atom	1929	3	page-003.jpg	e:1	e:1	1	1258	1150	47	52	atoms\e_1\page-003.jpg\1929.svg
atom	1963	3	page-003.jpg	g:1	g:1	1	1269	1150	67	33	atoms\g_1\page-003.jpg\1963.svg
atom	1930	3	page-003.jpg	e:1	e:1	1	1287	1151	48	50	atoms\e_1\page-003.jpg\1930.svg
