image_name	row_index	unit_id	molecule_id	unit_index	atom_count	first_token	last_token	prefix2	suffix2	prev_molecule_id	prev_last_token	prev_suffix2	next_molecule_id	next_first_token	next_prefix2	signature
page-003.jpg	12	p003-u095	img3-m98	95	11	c:1	d:1	c:1 a:1	i:1 d:1	img3-m97	h:1	e:1 h:1	img3-m92	e:1	e:1 c:1	c:1 a:1 b:1 c:1 a:1 e:1 f:1 l:1 f:1 i:1 d:1
page-003.jpg	12	p003-u096	img3-m92	96	8	e:1	d:1	e:1 c:1	i:1 d:1	img3-m98	d:1	i:1 d:1	img3-m90	e:1	e:1 a:1	e:1 c:1 h:2 e:1 f:1 f:1 i:1 d:1
page-003.jpg	12	p003-u097	img3-m90	97	10	e:1	h:1	e:1 a:1	e:1 h:1	img3-m92	d:1	i:1 d:1	img3-m89	a:1	a:1 b:1	e:1 a:1 e:1 b:1 c:1 a:1 g:1 e:1 e:1 h:1
page-003.jpg	12	p003-u098	img3-m89	98	8	a:1	h:2	a:1 b:1	c:1 h:2	img3-m90	h:1	e:1 h:1				a:1 b:1 c:1 a:1 c:1 e:1 c:1 h:2
page-003.jpg	13	p003-u099	img3-m102	99	9	e:1	d:1	e:1 c:1	i:1 d:1				img3-m103	n:1	n:1 e:1	e:1 c:1 h:2 e:1 f:1 k:1 f:1 i:1 d:1
page-003.jpg	13	p003-u100	img3-m103	100	14	n:1	h:1	n:1 e:1	e:1 h:1	img3-m102	d:1	i:1 d:1	img3-m100	e:1	e:1 a:1	n:1 e:1 g:1 e:1 e:1 a:1 b:1 c:1 a:1 g:1 e:1 e:1 e:1 h:1
page-003.jpg	13	p003-u101	img3-m100	101	11	e:1	d:1	e:1 a:1	i:1 d:1	img3-m103	h:1	e:1 h:1	img3-m105	e:1	e:1 g:1	e:1 a:1 b:1 c:1 a:1 g:1 e:1 c:1 f:1 i:1 d:1
page-003.jpg	13	p003-u102	img3-m105	102	8	e:1	d:1	e:1 g:1	i:1 d:1	img3-m100	d:1	i:1 d:1	img3-m106	n:1	n:1 e:1	e:1 g:1 e:1 e:1 f:1 f:1 i:1 d:1
page-003.jpg	13	p003-u103	img3-m106	103	7	n:1	h:1	n:1 e:1	e:1 h:1	img3-m105	d:1	i:1 d:1	img3-m99	a:1	a:1 b:1	n:1 e:1 g:1 e:1 e:1 e:1 h:1
page-003.jpg	13	p003-u104	img3-m99	104	7	a:1	j:1	a:1 b:1	f:1 j:1	img3-m106	h:1	e:1 h:1	img3-m104	e:1	e:1 g:1	a:1 b:1 c:1 a:1 c:1 f:1 j:1
page-003.jpg	13	p003-u105	img3-m104	105	6	e:1	j:1	e:1 g:1	f:1 j:1	img3-m99	j:1	f:1 j:1	img3-m107	e:1	e:1 g:1	e:1 g:1 e:1 c:1 f:1 j:1
